,pIC50
851,4.856985199745905
853,4.140261433802853
854,4.8124792791635365
855,6.267606240177032
856,5.200659450546418
858,5.443697499232712
859,5.107905397309519
860,6.259637310505756
861,5.206209615309182
862,4.747146969020107
863,4.5934598195660445
864,4.33913452199613
865,5.5376020021010435
866,5.031517051446065
867,3.0
869,5.211831628858833
870,3.3010299956639813
872,2.886056647693163
873,4.835647144215563
874,4.804100347590766
875,5.3872161432802645
877,6.769551078621726
878,4.747146969020107
879,5.7447274948966935
881,4.3851027839668655
882,3.3010299956639813
883,5.667561540084395
884,4.519993057042849
885,4.779891911959945
886,5.468521082957745
887,4.519999959791458
888,5.045757490560675
889,6.214670164989233
890,6.327902142064283
891,6.686132779630847
892,4.539999925177879
893,5.280000380871156
894,4.079999984911641
895,5.149999867728904
896,6.876148359032914
897,5.823908740944319
898,5.6020599913279625
899,6.7447274948966935
900,6.767003889607846
901,6.130768280269024
902,7.130768280269024
903,6.337242168318426
904,3.6399999910458836
905,6.844663962534939
906,4.860000083248981
907,4.356547323513812
908,4.318758762624412
909,6.6777807052660805
910,4.800000052738446
911,4.210000001311122
912,6.772113295386326
913,4.110000009303415
914,5.280000380871156
915,6.5376020021010435
916,5.210000001311122
917,6.045757490560675
918,7.552841968657781
919,4.6899999882307535
920,5.210000001311122
921,4.300000029139088
922,6.481486060122113
923,4.70999991085297
924,5.886056647693163
925,5.190000154058473
926,4.480000028175458
927,6.301029995663981
928,4.399999967876858
929,5.110000065251387
930,4.70000006855703
931,4.3100000171743025
932,5.2399999527072705
933,4.159999981744464
934,4.149999990420336
935,4.300000029139088
936,6.903089986991944
937,6.585026652029182
938,3.739999990121752
939,5.190000154058473
940,6.798602875679548
941,5.522878745280337
942,7.142667503568731
943,3.6000000054478725
944,4.3700000191416315
945,9.522878745280337
946,7.568636235841013
947,7.086186147616283
948,7.886056647693163
949,5.413412695328245
950,7.026872146400302
951,6.443697499232712
952,7.638272163982407
953,5.576754126063192
954,6.080921907623926
955,7.251811972993799
956,5.366531544420414
957,6.903089986991944
958,4.490797477668897
959,8.809668301829708
960,6.021363051615525
961,9.086186147616283
962,5.6020599913279625
963,6.638272163982407
964,7.045757490560675
965,7.221848749616356
966,6.376750709602099
967,6.439997673226633
968,7.540004743952609
969,6.790002703917631
970,9.489991487059765
971,5.430000267796054
972,5.820000358220839
973,6.799998134593398
974,6.299997602857746
975,5.770000934050708
976,8.236572006437063
977,9.318758762624412
978,6.6020599913279625
979,8.096910013008056
980,7.366531544420414
981,6.42021640338319
982,6.958607314841775
983,6.920818753952375
984,6.2839966563652006
985,4.708187312532881
986,5.573488738635425
987,7.275724130399211
988,7.494850021680094
989,7.552841968657781
990,7.102372908709558
991,6.4089353929735005
992,6.0
993,6.045757490560675
994,6.552841968657781
995,8.202732459169283
996,6.958607314841775
997,7.3979400086720375
998,8.154901959985743
999,8.585026652029182
1000,6.0
1001,8.221848749616356
1002,8.346787486224656
1003,6.468521082957745
1004,9.481486060122112
1005,6.721246399047171
1006,7.045757490560675
1007,6.1249387366083
1008,4.522878745280337
1009,7.267606240177032
1010,5.590066876668706
1011,7.522878745280337
1012,8.337242168318426
1013,6.619788758288394
1014,7.0
1015,7.522878745280337
1016,7.761953896871204
1017,8.090979145788843
1018,5.728158393463501
1019,7.692503962086787
1020,6.376750709602099
1021,6.405607449624573
1022,6.494850021680094
1023,5.52432881167557
1024,5.163675884293248
1025,5.467245621007502
1026,6.2839966563652006
1027,5.559090917934782
1028,5.679853713888946
1029,4.101823516502323
1030,5.709965388637482
1031,5.096910013008056
1032,4.350665141287858
1033,5.7447274948966935
1034,5.008330992620051
1035,5.306273051076353
